_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
16516,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,33,50,True,,22398871451,1553752047,Dibea,Canguru Para Bebê 0-3 Anos Ergonômico 3 Em 1 Estilo Canguru Frontal Infantil Hipseat,https://shopee.com.br/product/1553752047/22398871451,https://s.shopee.com.br/2LWE4ca5Fk,https://cf.shopee.com.br/file/sg-11134201-824i9-me4x7zc5v85d2c,0.03,0.03,0.03,0.03,0.03,2.8497,94.99,1,1782874799,1777258800,94.99,109.99,"[100632, 100674, 100945]",5.0,60,[],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11409,1553752047:22398871451,1,candidato_revisao_duplicata_nome_preco,dup_np_000180,5,false,source_hits,"[""canguru bebê""]",[]
16517,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,28,50,True,,22494062064,407952755,HELLOBRASIL,Canguru Para Bebê 0-3 Anos Ergonômico 3 Em 1 Estilo Canguru Frontal Infantil Hipseat,https://shopee.com.br/product/407952755/22494062064,https://s.shopee.com.br/5fmg2jwvWm,https://cf.shopee.com.br/file/sg-11134201-7ravb-mad58lxc9vtd70,0.03,0.03,0.03,0.03,0.03,2.8497,94.99,0,1782874799,1777258800,94.99,109.99,"[100632, 100674, 100945]",5.0,62,[2],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11253,407952755:22494062064,1,candidato_revisao_duplicata_nome_preco,dup_np_000180,5,false,source_hits,"[""canguru bebê""]",[]
16518,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,25,50,True,,22698540210,1497695220,SIMPLUS SOTRE,Canguru Para Bebê 0-3 Anos Ergonômico 3 Em 1 Estilo Canguru Frontal Infantil Hipseat,https://shopee.com.br/product/1497695220/22698540210,https://s.shopee.com.br/W4ZtEub8N,https://cf.shopee.com.br/file/sg-11134201-7ras8-ma1ikqbrit9ebf,0.03,0.03,0.03,0.03,0.03,2.8497,94.99,0,1782874799,1777258800,94.99,109.99,"[100632, 100674, 100945]",5.0,53,[],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11204,1497695220:22698540210,1,candidato_revisao_duplicata_nome_preco,dup_np_000180,5,false,source_hits,"[""canguru bebê""]",[]
16520,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,27,50,True,,22594048243,1229047031,UNIBOM.STORE,Canguru Para Bebê 0-3 Anos Ergonômico 3 Em 1 Estilo Canguru Frontal Infantil Hipseat,https://shopee.com.br/product/1229047031/22594048243,https://s.shopee.com.br/80Aap1fJV4,https://cf.shopee.com.br/file/sg-11134201-7rav7-ma5yx0xtisjwf0,0.03,0.03,0.03,0.03,0.03,2.8497,94.99,446,1782874799,1777258800,94.99,109.99,"[100632, 100674, 100945]",4.9,53,[2],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11247,1229047031:22594048243,1,candidato_revisao_duplicata_nome_preco,dup_np_000180,5,false,source_hits,"[""canguru bebê""]",[]
16738,mae-e-bebe,Mae e Bebe,keyword,brinquedo montessori bebê,24,50,True,,22998694690,1502681481,ToyLandia Baby,Placa De Aprendizagem De Feltro Para Crianças Habilidades De Vida Brinquedo Educativo  Montessori,https://shopee.com.br/product/1502681481/22998694690,https://s.shopee.com.br/8V6rR6Ej3y,https://cf.shopee.com.br/file/br-11134207-820la-mn5g7p6qiz28a2,0.11,0.11,0.11,0.11,0.11,2.7489,24.99,219,1782874799,1777258800,24.99,79.99,"[100632, 100684, 101012]",4.9,60,[],0.08,0.03,"[""keyword:brinquedo montessori bebê""]","[""brinquedos-montessori""]",19128,1502681481:22998694690,1,candidato_revisao_duplicata_nome_preco,dup_np_000444,5,false,source_hits,"[""brinquedo montessori bebê""]",[]
16742,mae-e-bebe,Mae e Bebe,keyword,brinquedo montessori bebê,25,50,True,,22598700759,1502769136,IntimaLivre,Placa De Aprendizagem De Feltro Para Crianças Habilidades De Vida Brinquedo Educativo  Montessori,https://shopee.com.br/product/1502769136/22598700759,https://s.shopee.com.br/40eS4eIUk3,https://cf.shopee.com.br/file/br-11134207-820l4-mny0m2371hxg64,0.11,0.11,0.11,0.11,0.11,2.7489,24.99,9,1782874799,1777258800,24.99,79.99,"[100632, 100684, 101012]",4.9,57,[],0.08,0.03,"[""keyword:brinquedo montessori bebê""]","[""brinquedos-montessori""]",19138,1502769136:22598700759,1,candidato_revisao_duplicata_nome_preco,dup_np_000444,5,false,source_hits,"[""brinquedo montessori bebê""]",[]
16745,mae-e-bebe,Mae e Bebe,keyword,brinquedo montessori bebê,25,50,True,,23694533650,1502681481,ToyLandia Baby,Placa De Aprendizagem De Feltro Para Crianças Habilidades De Vida Brinquedo Educativo  Montessori,https://shopee.com.br/product/1502681481/23694533650,https://s.shopee.com.br/2BCntHPTSs,https://cf.shopee.com.br/file/br-11134207-820lm-mnkx8ep58ef87b,0.11,0.11,0.11,0.11,0.11,2.7489,24.99,1,1782874799,1777258800,24.99,59.99,"[100632, 100684, 101012]",4.8,60,[],0.08,0.03,"[""keyword:brinquedo montessori bebê""]","[""brinquedos-montessori""]",19144,1502681481:23694533650,1,candidato_revisao_duplicata_nome_preco,dup_np_000444,5,false,source_hits,"[""brinquedo montessori bebê""]",[]
16762,mae-e-bebe,Mae e Bebe,keyword,carrinho bebê,39,50,True,,23898505933,420323997,sesh store,Mosquetão Gancho 16cm Clip Forte Carrinho De Bebe Multiuso de Metal Sacola de Compras,https://shopee.com.br/product/420323997/23898505933,https://s.shopee.com.br/7VEKDz5HKi,https://cf.shopee.com.br/file/sg-11134201-7rffa-m9zy6a1v2fz0e6,0.11,0.11,0.11,0.11,0.11,2.739,24.9,1,1782874799,1777258800,24.9,79.99,"[100632, 100674, 100947]",4.9,0,[],0.08,0.03,"[""keyword:carrinho bebê""]","[""passeio-carrinhos""]",9990,420323997:23898505933,1,candidato_revisao_duplicata_nome_preco,dup_np_000428,2,false,source_hits,"[""carrinho bebê""]",[]
16765,mae-e-bebe,Mae e Bebe,keyword,bebê conforto,21,50,True,,23594763393,1040957103,Bebe Sapeca,"Body Bebê Frases Dinda e Dindo – Macio, Conforto e Estilo",https://shopee.com.br/product/1040957103/23594763393,https://s.shopee.com.br/50WzFQnBZI,https://cf.shopee.com.br/file/sg-11134201-8262r-mj47buw3e2o050,0.15,0.15,0.15,0.15,0.15,2.7375,18.25,0,1782874799,1777258800,18.25,18.25,"[100633, 100687, 101022]",5.0,49,[],0.12,0.03,"[""keyword:bebê conforto""]","[""passeio-bebe-conforto""]",10456,1040957103:23594763393,1,candidato_revisao_duplicata_nome_preco,dup_np_000103,2,false,source_hits,"[""bebê conforto""]",[]
16925,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,32,50,True,,23998536867,444245578,TX ELETRONICOS Store ,Banco De Cintura Para Bebê Canguru Bebe Passeio Varias Cores Mochila Infantil,https://shopee.com.br/product/444245578/23998536867,https://s.shopee.com.br/9zvfCi1KSF,https://cf.shopee.com.br/file/sg-11134201-7rava-mabm48xnmcddfb,0.03,0.03,0.03,0.03,0.03,2.67,89.0,3,1782874799,1777258800,89.0,89.0,"[100632, 100674, 100945]",5.0,66,[],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11380,444245578:23998536867,1,candidato_revisao_duplicata_nome_preco,dup_np_000078,5,false,source_hits,"[""canguru bebê""]",[]
16929,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,25,50,True,,19099779231,390383033,BELEZA BELEZINHA E-COMMERCE,Banco De Cintura Para Bebê Canguru Bebe Passeio Varias Cores Mochila Infantil,https://shopee.com.br/product/390383033/19099779231,https://s.shopee.com.br/50WzFVdSzu,https://cf.shopee.com.br/file/sg-11134201-7rav2-mabm8hqy1bcu3f,0.03,0.03,0.03,0.03,0.03,2.67,89.0,2,1782874799,1777258800,89.0,89.0,"[100632, 100674, 100945]",4.9,66,[],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11195,390383033:19099779231,1,candidato_revisao_duplicata_nome_preco,dup_np_000078,5,false,source_hits,"[""canguru bebê""]",[]
16930,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,36,50,True,,23998536932,760332803,AT UTILIDADES,Banco De Cintura Para Bebê Canguru Bebe Passeio Varias Cores Mochila Infantil,https://shopee.com.br/product/760332803/23998536932,https://s.shopee.com.br/7Kuu1od31h,https://cf.shopee.com.br/file/sg-11134201-7ratk-mabm56m6c0fo07,0.03,0.03,0.03,0.03,0.03,2.67,89.0,0,1782874799,1777258800,89.0,89.0,"[100632, 100674, 100945]",4.9,66,[],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11441,760332803:23998536932,1,candidato_revisao_duplicata_nome_preco,dup_np_000078,5,false,source_hits,"[""canguru bebê""]",[]
16946,mae-e-bebe,Mae e Bebe,keyword,banheira bebê,38,50,True,,23394413459,897308979,Gatano,Banheira Grande De Bebê 35 Litros Confortável E Segura,https://shopee.com.br/product/897308979/23394413459,https://s.shopee.com.br/8KnRDmaCdY,https://cf.shopee.com.br/file/sg-11134201-82628-mlozdhrbssun02,0.08,0.08,0.08,0.08,0.08,2.656,33.2,12,1782874799,1777258800,33.2,48.5,"[100632, 100678, 100968]",4.8,53,[],0.05,0.03,"[""keyword:banheira bebê""]","[""banho-banheiras""]",12399,897308979:23394413459,1,candidato_revisao_duplicata_nome_preco,dup_np_000084,3,false,source_hits,"[""banheira bebê""]",[]
16961,mae-e-bebe,Mae e Bebe,keyword,mochila maternidade,39,50,True,,23897410662,308134097,CRUSHBABY,Mochila Bebe Maternidade Cinza/Bege G Luxo Linho Laço,https://shopee.com.br/product/308134097/23897410662,https://s.shopee.com.br/7AbTpWpJDf,https://cf.shopee.com.br/file/br-11134207-7r98o-mcm6s1go534166,0.03,0.03,0.03,0.03,0.03,2.646,88.2,0,1782874799,1777258800,88.2,88.2,"[100632, 100674, 100950]",5.0,10,[2],0.0,0.03,"[""keyword:mochila maternidade""]","[""maternidade-bolsas-mochilas""]",9111,308134097:23897410662,1,candidato_revisao_duplicata_nome_preco,dup_np_000411,2,false,source_hits,"[""mochila maternidade""]",[]
16975,mae-e-bebe,Mae e Bebe,keyword,brinquedo montessori bebê,38,50,True,,22596944362,596099714,TemTudim_,Brinquedos Educativos Em Madeira Como a Pescaria MDF Divertida C/ Imã Montessori,https://shopee.com.br/product/596099714/22596944362,https://s.shopee.com.br/3B5L58gIdV,https://cf.shopee.com.br/file/br-11134207-7r98o-lyqyaq7k6s6d59,0.07,0.07,0.07,0.07,0.07,2.646,37.8,1,1782874799,1777258800,37.8,113.2,"[100632, 100684, 101012]",4.9,0,[],0.04,0.03,"[""keyword:brinquedo montessori bebê""]","[""brinquedos-montessori""]",19426,596099714:22596944362,1,candidato_revisao_duplicata_nome_preco,dup_np_000149,2,false,source_hits,"[""brinquedo montessori bebê""]",[]
16993,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,28,50,True,,19997724487,1057319077,LEO BUY SHOP,Canguru Para Bebê 0-3 Anos Ergonômico 3 Em 1 Estilo Canguru Frontal Infantil Hipseat,https://shopee.com.br/product/1057319077/19997724487,https://s.shopee.com.br/4fu8qu0jYw,https://cf.shopee.com.br/file/br-11134207-7r98o-lwr6sn956kc6fe,0.03,0.03,0.03,0.03,0.03,2.6397,87.99,10,1782874799,1777258800,87.99,98.99,"[100632, 100674, 100945]",4.9,56,[2],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11260,1057319077:19997724487,1,candidato_revisao_duplicata_nome_preco,dup_np_000179,3,false,source_hits,"[""canguru bebê""]",[]
16994,mae-e-bebe,Mae e Bebe,keyword,canguru bebê,28,50,True,,23997587885,874603044,SUPER CHETO,Canguru Para Bebê 0-3 Anos Ergonômico 3 Em 1 Estilo Canguru Frontal Infantil Hipseat,https://shopee.com.br/product/874603044/23997587885,https://s.shopee.com.br/3B5L496RbZ,https://cf.shopee.com.br/file/br-11134207-7r98o-lwr6pnbj4os6a6,0.03,0.03,0.03,0.03,0.03,2.6397,87.99,1,1782874799,1777258800,87.99,94.99,"[100632, 100674, 100945]",4.9,56,[2],0.0,0.03,"[""keyword:canguru bebê""]","[""passeio-canguru-ergonomico""]",11259,874603044:23997587885,1,candidato_revisao_duplicata_nome_preco,dup_np_000179,3,false,source_hits,"[""canguru bebê""]",[]
17001,mae-e-bebe,Mae e Bebe,keyword,mosquiteiro bebê,31,50,True,,22293670169,1226821165,Zorah Store,Mosquiteiro Para Berço Nacional e Americano 6m Circunferência Véu Leve Sem Varão,https://shopee.com.br/product/1226821165/22293670169,https://s.shopee.com.br/5fmg3KzRU5,https://cf.shopee.com.br/file/sg-11134201-7ra30-m5c1aawrohcu0d,0.08,0.08,0.08,0.08,0.08,2.6392,32.99,8,1782874799,1777258800,32.99,32.99,"[100632, 100680, 100985]",4.9,53,[2],0.05,0.03,"[""keyword:mosquiteiro bebê""]","[""quarto-sono-mosquiteiros""]",16493,1226821165:22293670169,1,candidato_revisao_duplicata_nome_preco,dup_np_000436,2,false,source_hits,"[""mosquiteiro bebê""]",[]
