itemId,productName,productLink,offerLink,imageUrl,price,priceMax,sales,ratingStar,shopType,sellerCommissionRate,shopeeCommissionRate,subniches
23597731443,Sandália Feminina Salto Alto Gisele Clássico Casual Traseiro Fechado Conforto Festa Original Gigil,https://shopee.com.br/product/387348115/23597731443,https://s.shopee.com.br/4AzRSCEgc1,https://cf.shopee.com.br/file/br-11134207-7r98o-lzg5kd1xrubl2e,89.99,89.99,130,4.9,[1],0.06,0.03,"[""calcados-sandalia""]"
19599094813,Chinelo De Dedo Plataforma Papete Flatform Puffer Moda,https://shopee.com.br/product/387348115/19599094813,https://s.shopee.com.br/7psjoxiOBD,https://cf.shopee.com.br/file/br-11134207-81z1k-meptlne46sxs8f,89.99,89.99,28,4.9,[1],0.06,0.03,"[""calcados-chinelo"", ""calcados-sandalia""]"
23898882230,Chinelo Havaianas Baby Brasil Logo,https://shopee.com.br/product/1090996394/23898882230,https://s.shopee.com.br/80CA1E4tjW,https://cf.shopee.com.br/file/sg-11134201-824h4-mek6lidxx2ipc8,44.99,44.99,11,5.0,[1],0.15,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
18397477922,Chinelo Havaianas Baby Brasil Logo Amarelo Pop,https://shopee.com.br/product/1090996394/18397477922,https://s.shopee.com.br/60R5dYCVnS,https://cf.shopee.com.br/file/sg-11134201-82605-ml6jfh6tz9jhc3,44.99,44.99,5,5.0,[1],0.15,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
18899031563,Chinelo Havaianas Slim Preto,https://shopee.com.br/product/1090996394/18899031563,https://s.shopee.com.br/1LfG4yPwdP,https://cf.shopee.com.br/file/sg-11134201-81zvp-mimr91reeww270,44.99,44.99,124,4.9,[1],0.15,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
23097085784,Chinelo Havaianas Slim Branco,https://shopee.com.br/product/1090996394/23097085784,https://s.shopee.com.br/3qMb3ZGQZ2,https://cf.shopee.com.br/file/sg-11134201-8261u-ml6jgojf42dr3d,44.99,44.99,61,4.9,[1],0.15,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
19797457949,Chinelo Havaianas Slim Rose Gold,https://shopee.com.br/product/1090996394/19797457949,https://s.shopee.com.br/4LIreUEWYD,https://cf.shopee.com.br/file/sg-11134201-82620-ml6jihxj1xqg40,44.99,44.99,58,4.9,[1],0.15,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
20097474811,Chinelo Havaianas Slim Feminino,https://shopee.com.br/product/1090996394/20097474811,https://s.shopee.com.br/5foFEw9Rqc,https://cf.shopee.com.br/file/sg-11134201-82611-ml6jhxw8qwp44d,44.99,44.99,34,4.9,[1],0.15,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
22698863455,Chinelo Havaianas Slim Pets,https://shopee.com.br/product/1090996394/22698863455,https://s.shopee.com.br/7psjov1CSF,https://cf.shopee.com.br/file/sg-11134201-824im-me0hz77p3pc1f0,44.99,44.99,24,4.9,[1],0.15,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
23998882209,Chinelo Havaianas Top Tiras,https://shopee.com.br/product/1090996394/23998882209,https://s.shopee.com.br/70JcpO8hlg,https://cf.shopee.com.br/file/sg-11134201-821dj-mgwjbzxn69e338,44.99,44.99,0,4.9,[1],0.15,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
41077860870,"MINISO  sanrio personagens série - chinelos femininos antiderrapantes, confortáveis e de secagem rápida 26cm x 11cm x",https://shopee.com.br/product/1672861664/41077860870,https://s.shopee.com.br/AAGebD5W52,https://cf.shopee.com.br/file/sg-11134201-8261t-mj84gxw7tjph92,61.35,65.2,0,5.0,[1],0.1,0.03,"[""calcados-sandalia"", ""calcados-chinelo""]"
29362763755,Amuletos de Sapatos Sandálias de Tamancos Decoração Acessórios Premium Fácil de Instalar,https://shopee.com.br/product/1006215031/29362763755,https://s.shopee.com.br/1LfG4yd908,https://cf.shopee.com.br/file/sg-11134201-823qu-mp4n0k5og36510,53.17,53.17,8,4.9,[2],0.12,0.03,"[""calcados-sandalia""]"
44279024663,2026 Novo D Bordado Diamante Grade Pérola Única Cinta Arco Plana Mary Jane Ballet Sapatos Para Mulheres Uso Casual Diári,https://shopee.com.br/product/1006215031/44279024663,https://s.shopee.com.br/7Ad31ipjLT,https://cf.shopee.com.br/file/sg-11134201-824gm-mpj3r5xceebl03,88.02,88.02,0,5.0,[2],0.06,0.03,"[""calcados-sapatilha""]"
