_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
78620,feminino,Feminino,keyword,depilador feminino,13,50,True,,18999547427,1387498475,YUNY Comercial da Moda,Aparador Cortador Depilador Feminino 5 em 1 de Pelos Sobrancelhas e Intimo,https://shopee.com.br/product/1387498475/18999547427,https://s.shopee.com.br/70I3idiuPs,https://cf.shopee.com.br/file/br-11134207-7r98o-m29x2ea55rdia7,0.08,0.08,0.08,0.08,0.08,1.6792,20.99,0,1782874799,1777258800,20.99,20.99,"[100630, 100663, 100888]",4.9,90,[2],0.05,0.03,"[""keyword:depilador feminino""]","[""cuidados-depilacao""]",47597,1387498475:18999547427,1,candidato_revisao_duplicata_nome_preco,dup_np_000050,4,false,source_hits,"[""depilador feminino""]",[]
78624,feminino,Feminino,keyword,depilador feminino,13,50,True,,23597979020,1039118409,NANA Beleza Estética,Aparador Cortador Depilador Feminino 5 em 1 de Pelos Sobrancelhas e Intimo,https://shopee.com.br/product/1039118409/23597979020,https://s.shopee.com.br/18JNm9YcA,https://cf.shopee.com.br/file/sg-11134201-7rdy5-m1myjhfeoz7h02,0.08,0.08,0.08,0.08,0.08,1.6792,20.99,0,1782874799,1777258800,20.99,20.99,"[100630, 100663, 100888]",4.6,90,[2],0.05,0.03,"[""keyword:depilador feminino""]","[""cuidados-depilacao""]",47575,1039118409:23597979020,1,candidato_revisao_duplicata_nome_preco,dup_np_000050,4,false,source_hits,"[""depilador feminino""]",[]
78625,feminino,Feminino,keyword,depilador feminino,14,50,True,,21797808541,633538803,YUNY Fashion,Aparador Cortador Depilador Feminino 5 em 1 de Pelos Sobrancelhas e Intimo,https://shopee.com.br/product/633538803/21797808541,https://s.shopee.com.br/5q66KUrooO,https://cf.shopee.com.br/file/br-11134207-7r98o-lzqljuaqosd1c3,0.08,0.08,0.08,0.08,0.08,1.6792,20.99,0,1782874799,1777258800,20.99,56.99,"[100630, 100663, 100888]",4.5,91,[2],0.05,0.03,"[""keyword:depilador feminino""]","[""cuidados-depilacao""]",47603,633538803:21797808541,1,candidato_revisao_duplicata_nome_preco,dup_np_000050,4,false,source_hits,"[""depilador feminino""]",[]
78710,feminino,Feminino,keyword,secador cabelo,32,50,True,,23493233412,1316545992,Eastores,Suporte De Parede Para Secador De Cabelo Universal D3,https://shopee.com.br/product/1316545992/23493233412,https://s.shopee.com.br/8KnRITSeCN,https://cf.shopee.com.br/file/sg-11134201-7rdy0-lzastbx7bz8o18,0.08,0.08,0.08,0.08,0.08,1.6648,20.81,0,1782874799,1777258800,20.81,20.81,"[100636, 100721, 101256]",5.0,5,[],0.05,0.03,"[""keyword:secador cabelo""]","[""cabelo-ferramentas""]",34896,1316545992:23493233412,1,candidato_revisao_duplicata_nome_preco,dup_np_001119,2,false,source_hits,"[""secador cabelo""]",[]
78764,feminino,Feminino,keyword,escova secadora,39,50,True,,58200871879,1497695220,SIMPLUS SOTRE,Secador de Cabelo e Escova de Aquecimento Elétrico 110V,https://shopee.com.br/product/1497695220/58200871879,https://s.shopee.com.br/80Aatb1O5V,https://cf.shopee.com.br/file/br-11134207-81ztc-mjj5ls1fdypv44,0.03,0.03,0.03,0.03,0.03,1.6497,54.99,0,1782874799,1777258800,54.99,59.99,"[100630, 100663, 100889]",5.0,73,[],0.0,0.03,"[""keyword:escova secadora""]","[""cabelo-ferramentas""]",28976,1497695220:58200871879,1,candidato_revisao_duplicata_nome_preco,dup_np_001086,3,false,source_hits,"[""escova secadora""]",[]
78787,feminino,Feminino,keyword,unhas gel,12,50,True,,22794712784,389349043,TudoCosmeticosOn-line,Removedor De Esmalte Em Gel 15ml XD,https://shopee.com.br/product/389349043/22794712784,https://s.shopee.com.br/8KnRIlYZiI,https://cf.shopee.com.br/file/sg-11134201-8225e-mhse72sv589291,0.15,0.15,0.15,0.15,0.15,1.6485,10.99,260,1782874799,1777258800,10.99,27.9,"[100630, 100658, 100867]",4.8,0,[],0.12,0.03,"[""keyword:unhas gel"", ""keyword:esmalte gel""]","[""unhas-manicure""]",41133,389349043:22794712784,1,candidato_revisao_duplicata_nome_preco,dup_np_000921,2,false,source_hits,"[""unhas gel"", ""esmalte gel""]",[]
78943,feminino,Feminino,keyword,cabine unha,31,50,True,,58257673935,323693943,UNIVERSONAILS RIO,Gel canni color led uv seca na cabine semi control 15g para unhas - EMA free,https://shopee.com.br/product/323693943/58257673935,https://s.shopee.com.br/Ll9mB4oCD,https://cf.shopee.com.br/file/sg-11134201-8260v-mmacm03s6z9kfe,0.07,0.07,0.07,0.07,0.07,1.6093,22.99,11,1782874799,1777258800,22.99,22.99,"[100630, 100658, 100867]",5.0,28,[],0.04,0.03,"[""keyword:cabine unha""]","[""unhas-manicure""]",43770,323693943:58257673935,1,candidato_revisao_duplicata_nome_preco,dup_np_000498,2,false,source_hits,"[""cabine unha""]",[]
78947,feminino,Feminino,keyword,depilador feminino,16,50,True,,22493056477,465623800,M&D Brasil Atacadista,Depilador Intimo Elétrico Feminino Depilação Feminina,https://shopee.com.br/product/465623800/22493056477,https://s.shopee.com.br/7VEKJYxVJb,https://cf.shopee.com.br/file/br-11134207-7r98o-ly3mn5qweaf4d6,0.07,0.07,0.07,0.07,0.07,1.6093,22.99,24,1782874799,1777258800,22.99,22.99,"[100630, 100663, 100888]",4.5,23,[],0.04,0.03,"[""keyword:depilador feminino""]","[""cuidados-depilacao""]",47710,465623800:22493056477,1,candidato_revisao_duplicata_nome_preco,dup_np_000446,3,false,source_hits,"[""depilador feminino""]",[]
79063,feminino,Feminino,keyword,look festa,23,50,True,,18198083566,288181836,Atena Fashion Storee,Meia Calça Feminina Arrastão Brilho Balada – O Toque Perfeito para Seu Look de Festa!,https://shopee.com.br/product/288181836/18198083566,https://s.shopee.com.br/6ffDTtEcIu,https://cf.shopee.com.br/file/br-11134207-7r98o-m5wvh2ykmvrkdf,0.08,0.08,0.08,0.08,0.08,1.592,19.9,0,1782874799,1777258800,19.9,19.9,"[100017, 100118, 100418]",4.9,34,[2],0.05,0.03,"[""keyword:look festa""]","[""moda-festa""]",169271,288181836:18198083566,1,candidato_revisao_duplicata_nome_preco,dup_np_000808,2,false,source_hits,"[""look festa""]",[]
79067,feminino,Feminino,keyword,look festa,23,50,True,,23693602647,288181836,Atena Fashion Storee,"Meia Calça Arrastão Feminina – Ousadia e Estilo para o Carnaval | Perfeita para Bloco, Festa e Look Fashionista!",https://shopee.com.br/product/288181836/23693602647,https://s.shopee.com.br/7fXkfjAoH4,https://cf.shopee.com.br/file/br-11134207-7r98o-m5wvh2ykegcw68,0.08,0.08,0.08,0.08,0.08,1.592,19.9,0,1782874799,1777258800,19.9,19.9,"[100017, 100100, 100359]",4.8,67,[2],0.05,0.03,"[""keyword:look festa""]","[""moda-festa""]",169269,288181836:23693602647,1,candidato_revisao_duplicata_nome_preco,dup_np_000807,3,false,source_hits,"[""look festa""]",[]
